Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
yes	yes	yes	no	no	25	Wailea	NMS	SD	AW	JJ	WPL	WPL181221		Palauea Beach	2018-12-21	8:58	1	1	1	1	1					WPL181221	24.9	35.3	6.79	99.5	8.19	0.35	0.50	0.32	0.39	0.247				NA	0	4	0	
yes	yes	yes	no	no	25	Wailea	NMS	SD	AW	JJ	WPO	WPO181221		Poolenalena Beach	2018-12-21	9:13	1	1	1	1	1					WPO181221	25.1	35.3	6.77	99.7	8.19	0.23	0.23	0.44	0.30	0.404				NA	0	4	2	
yes	yes	yes	no	no	26	Wailea	NMS	CL	AW	JJ	WKD	WKD190118		Kilohana Dr	2019-01-18	8:00	1	3	5	1	3					WKD190118	23.4	34.8	6.85	98.1	8.19	1.19	1.24	1.32	1.25	0.052				NA	0	10	0	
yes	yes	yes	no	no	26	Wailea	NMS	CL	AW	JJ	WKB	WKB190118		Keawakapu Beach	2019-01-18	8:20	1	3	5	1	3					WKB190118	23.8	34.6	6.85	98.5	8.20	0.80	0.91	0.82	0.84	0.069				NA	0	2	0	
yes	yes	yes	no	no	26	Wailea	NMS	CL	AW	JJ	WUL	WUL190118		Ulua Beach	2019-01-18	8:40	1	3	5	1	3					WUL190118	24.2	34.4	6.84	99.0	8.20	0.60	0.62	0.60	0.61	0.019				NA	11	3	0	
yes	yes	yes	no	no	26	Wailea	NMS	CL	AW	JJ	WPL	WPL190118		Palauea Beach	2019-01-18	9:10	1	3	5	1	3					WPL190118	24.1	34.6	6.86	99.0	8.20	1.24	1.00	1.16	1.13	0.108				NA	2	2	0	
yes	yes	yes	no	no	26	Wailea	NMS	CL	AW	JJ	WPO	WPO190118		Poolenalena Beach	2019-01-18	9:35	1	3	5	1	3					WPO190118	24.3	34.4	6.84	99.1	8.22	0.55	0.63	0.52	0.57	0.100				NA	1	1	0	
yes	yes	yes	no	no	27	Wailea	NMS	CL	AW	JJ	WKD	WKD190208		Kilohana Dr	2019-02-08	8:00	1	1	1	1	1					WKD190208	23.3	36.9	6.87	99.4	8.15	0.80	0.66	0.68	0.71	0.106				NA	1	5	0	
yes	yes	yes	no	no	27	Wailea	NMS	CL	AW	JJ	WKB	WKB190208		Keawakapu Beach	2019-02-08	8:25	1	1	1	1	1					WKB190208	23.5	36.9	6.92	100.6	8.16	0.95	0.74	0.77	0.82	0.139				NA	0	12	0	
yes	yes	yes	no	no	27	Wailea	NMS	CL	AW	JJ	WUL	WUL190208		Ulua Beach	2019-02-08	8:46	1	1	1	1	1					WUL190208	24	36.8	6.92	101.3	8.15	0.64	0.62	0.65	0.64	0.024				NA	4	1	0	
yes	yes	yes	no	no	27	Wailea	NMS	CL	AW	JJ	WPL	WPL190208		Palauea Beach	2019-02-08	9:12	1	1	1	1	1					WPL190208	23.8	36.9	6.96	101.5	8.17	0.89	0.89	0.92	0.90	0.019				NA	0	5	0	
yes	yes	yes	no	no	27	Wailea	NMS	CL	AW	JJ	WPO	WPO190208		Poolenalena Beach	2019-02-08	9:31	1	1	1	1	1					WPO190208	23.9	36.9	6.97	101.8	8.18	0.64	0.71	0.55	0.63	0.127				NA	0	2	2	
yes	yes	yes	no	no	28	Wailea	NMS	SD	AW		WKD	WKD190301		Kilohana Dr	2019-03-01	7:50	2	2	2	2	2					WKD190301	22.1	34.7	7.18	100.2	8.17	0.88	0.72	0.74	0.78	0.112				NA	0	8	0	
yes	yes	yes	no	no	28	Wailea	NMS	SD	AW		WKB	WKB190301		Keawakapu Beach	2019-03-01	8:11	2	2	2	2	2					WKB190301	22.3	34.8	7.06	99.0	8.16	0.69	0.72	0.61	0.67	0.084				NA	1	2	0	
yes	yes	yes	no	no	28	Wailea	NMS	SD	AW		WUL	WUL190301		Ulua Beach	2019-03-01	8:37	2	2	2	2	2					WUL190301	23	33.9	6.89	97.2	8.14	0.88	0.77	0.75	0.80	0.088				NA	4	9	0	re-took 1st & 3rd reading due to odd values
yes	yes	yes	no	no	28	Wailea	NMS	SD	AW		WPL	WPL190301		Palauea Beach	2019-03-01	8:53	2	2	2	2	2					WPL190301	22.8	34.7	7.11	100.4	8.19	1.21	1.13	1.12	1.15	0.043				NA	0	0	0	
yes	yes	yes	no	no	28	Wailea	NMS	SD	AW		WPO	WPO190301		Poolenalena Beach	2019-03-01	9:08	2	2	2	2	2					WPO190301	23.4	34.5	7.11	101.3	8.20	1.11	1.18	1.18	1.16	0.035				NA	1	9	0	
yes	yes	yes	no	no	29	Wailea	NMS	SD	AW	JJ	WKD	WKD190322		Kilohana Dr	2019-03-22	7:54	1	1	1	1	1					WKD190322	23.4	35	7.08	101.0	8.13	1.07	1.16	1.11	1.11	0.041				NA	0	7	0	
yes	yes	yes	no	no	29	Wailea	NMS	SD	AW	JJ	WKB	WKB190322		Keawakapu Beach	2019-03-22	8:15	1	1	1	1	1					WKB190322	23.9	35.1	6.95	100.2	8.13	0.69	0.75	0.47	0.64	0.232				NA	1	4	0	
yes	yes	yes	no	no	29	Wailea	NMS	SD	AW	JJ	WUL	WUL190322		Ulua Beach	2019-03-22	8:39	1	1	1	1	1					WUL190322	23.8	34.5	6.84	98.1	8.11	1.19	1.53	1.46	1.39	0.129				NA	25	18	0	
yes	yes	yes	no	no	29	Wailea	NMS	SD	AW	JJ	WPL	WPL190322		Palauea Beach	2019-03-22	9:01	1	1	1	1	1					WPL190322	24.3	34.9	6.97	100.9	8.16	0.53	0.91	0.54	0.66	0.328				NA	0	9	0	
yes	yes	yes	no	no	29	Wailea	NMS	SD	AW	JJ	WPO	WPO190322		Poolenalena Beach	2019-03-22	9:19	1	1	1	1	1					WPO190322	24.3	35.1	6.99	101.2	8.16	0.94	0.85	0.87	0.89	0.053				NA	3	10	0	
yes	yes	yes	no	no	30	Wailea	NMS	MB	AW	SD	WKD	WKD190412		Kilohana Dr	2019-04-12	8:03	2	2	2	2	2					WKD190412	25.1	35	6.75	99.5	8.15	0.54	0.76	0.60	0.63	0.180				NA	0	12	2	
yes	yes	yes	no	no	30	Wailea	NMS	MB	AW	SD	WKB	WKB190412		Keawakapu Beach	2019-04-12	8:26	2	2	2	2	2					WKB190412	25.3	34.8	6.87	101.3	8.12	0.86	1.29	1.33	1.16	0.225				NA	3	24	0	
yes	yes	yes	no	no	30	Wailea	NMS	MB	AW	SD	WUL	WUL190412		Ulua Beach	2019-04-12	8:50	2	2	2	2	2					WUL190412	25.4	34.5	6.58	97.3	8.11	1.15	1.31	1.42	1.29	0.105				NA	14	25	0	
yes	yes	yes	no	no	30	Wailea	NMS	MB	AW	SD	WPL	WPL190412		Palauea Beach	2019-04-12	9:15	2	2	2	2	2					WPL190412	25.9	34.8	6.85	102.4	8.18	0.78	1.04	0.94	0.92	0.143				NA	0	19	0	
yes	yes	yes	no	no	30	Wailea	NMS	MB	AW	SD	WPO	WPO190412		Poolenalena Beach	2019-04-12	9:32	2	2	2	2	2					WPO190412	25.9	34.9	6.87	102.8	8.19	1.34	1.25	1.20	1.26	0.056				NA	5	14	0	
yes	yes	yes	no	no	31	Wailea	NMS	SD	TS, JK	JJ, JS	WKD	WKD190503		Kilohana Dr	2019-05-03	8:09	1	1	1	1	1					WKD190503	25.4	34.4	6.80	100.7	8.12	1.58	1.29	1.26	1.38	0.128				NA	1	6	0	First time out as being trained for new volunteers Jody and Taylor.
yes	yes	yes	no	no	31	Wailea	NMS	SD	TS, JK	JJ, JS	WKB	WKB190503		Keawakapu Beach	2019-05-03	8:32	1	1	1	1	1					WKB190503	25.8	35	6.73	100.9	8.14	0.50	0.49	0.45	0.48	0.055				NA	4	12	0	
yes	yes	yes	no	no	31	Wailea	NMS	SD	TS, JK	JJ, JS	WUL	WUL190503		Ulua Beach	2019-05-03	8:57	1	1	1	1	1					WUL190503	26.3	34.3	6.68	100.8	8.10	1.51	1.46	1.45	1.47	0.022				NA	20	30	0	
yes	yes	yes	no	no	31	Wailea	NMS	SD	TS, JK	JJ, JS	WPL	WPL190503		Palauea Beach	2019-05-03	9:28	1	1	1	1	1					WPL190503	26.6	34.4	6.87	104.4	8.17	1.07	1.62	1.84	1.51	0.263				NA	2	6	0	
yes	yes	yes	no	no	31	Wailea	NMS	SD	TS, JK	JJ, JS	WPO	WPO190503		Poolenalena Beach	2019-05-03	9:48	1	1	1	1	1					WPO190503	26.4	34.6	6.78	102.4	8.17	0.84	0.83	0.84	0.84	0.007				NA	3	5 + dog	0	
yes	yes	yes	no	no	32	Wailea	NMS	MB	AW	JJ	WKD	WKD190524		Kilohana Dr	2019-05-24	8:01	2	1	1	1	1					WKD190524	26.9	34.3	6.70	101.4	8.10	1.81	1.63	1.88	1.77	0.073				NA	2	5	0	
yes	yes	yes	no	no	32	Wailea	NMS	MB	AW	JJ	WKB	WKB190524		Keawakapu Beach	2019-05-24	8:20	2	1	1	1	1					WKB190524	27.1	34.8	6.66	101.5	8.14	0.73	0.71	0.78	0.74	0.049				NA	6	9	0	
yes	yes	yes	no	no	32	Wailea	NMS	MB	AW	JJ	WUL	WUL190524		Ulua Beach	2019-05-24	8:40	2	1	1	1	1					WUL190524	27.1	34.4	6.66	101.3	8.11	1.28	1.39	1.41	1.36	0.051				NA	25	27	0	
yes	yes	yes	no	no	32	Wailea	NMS	MB	AW	JJ	WPL	WPL190524		Palauea Beach	2019-05-24	9:00	2	1	1	1	1					WPL190524	27.3	34.5	6.67	101.8	8.17	2.37	2.38	2.27	2.34	0.026				NA	3	4	0	
yes	yes	yes	no	no	32	Wailea	NMS	MB	AW	JJ	WPO	WPO190524		Poolenalena Beach	2019-05-24	9:15	2	1	1	1	1					WPO190524	27.6	34.7	6.61	101.8	8.17	0.73	0.69	0.59	0.67	0.108				NA	0	15	0	
yes	yes	yes	no	no	33	Wailea	NMS	JJ	AW	TS	WKD	WKD190614		Kilohana Dr	2019-06-14	7:55	1	1	1	1	1					WKD190614	26.5	34.5	6.62	99.8	8.11	1.61	1.64	1.66	1.64	0.015				N	1	8	0	
yes	yes	yes	no	no	33	Wailea	NMS	JJ	AW	TS	WKB	WKB190614		Keawakapu Beach	2019-06-14	8:20	1	1	1	1	1					WKB190614	27.1	34.9	6.58	100.3	8.14	1.23	1.37	1.46	1.35	0.086				N	0	21	0	
yes	yes	yes	no	no	33	Wailea	NMS	JJ	AW	TS	WUL	WUL190614		Ulua Beach	2019-06-14	8:42	1	1	1	1	1					WUL190614	26.9	34.4	6.61	100.4	8.12	1.99	2.99	2.33	2.44	0.209				N	22	25	0	
yes	yes	yes	no	no	33	Wailea	NMS	JJ	AW	TS	WPL	WPL190614		Palauea Beach	2019-06-14	9:06	1	1	1	1	1					WPL190614	27.6	34.5	6.59	101.2	8.14	3.90	3.75	3.46	3.70	0.060				N	2	30	0	
yes	yes	yes	no	no	33	Wailea	NMS	JJ	AW	TS	WPO	WPO190614		Poolenalena Beach	2019-06-14	9:25	1	1	1	1	1					WPO190614	27.5	34.8	6.58	101.2	8.18	1.08	1.29	1.16	1.18	0.090				N	1	8	0	high surf (5')
yes	yes	yes	no	no	34	Wailea	NMS	JJ	AW	SD	WKD	WKD190705		Kilohana Dr	2019-07-05	7:54	1	2	2	2	2					WKD190705	27.7	35.1	6.59	101.9		1.25	1.44	1.42	1.37	0.076				N	0	1	0	Re: Pre-sampling Lost turbidity: I called Alfred and he said blank cell was poured out before reading it - J.S.  
yes	yes	yes	no	no	34	Wailea	NMS	JJ	AW	SD	WKB	WKB190705		Keawakapu Beach	2019-07-05	8:20	1	2	2	2	2					WKB190705	28	35.4	6.54	101.8		1.22	1.05	0.96	1.08	0.123				N	3	9	0	
yes	yes	yes	no	no	34	Wailea	NMS	JJ	AW	SD	WUL	WUL190705		Ulua Beach	2019-07-05	8:42	1	2	2	2	2					WUL190705	28.1	35.2	6.63	103.7		1.02	1.29	0.99	1.10	0.150				N	35	21	0	
yes	yes	yes	no	no	34	Wailea	NMS	JJ	AW	SD	WPL	WPL190705		Palauea Beach	2019-07-05	9:05	1	2	2	2	2					WPL190705	28.1	35	6.57	102.2		2.78	3.30	3.18	3.09	0.088				N	1	8	0	
yes	yes	yes	no	no	34	Wailea	NMS	JJ	AW	SD	WPO	WPO190705		Poolenalena Beach	2019-07-05	9:25	1	2	2	2	2					WPO190705	28.5	35.1	6.54	103.6		0.80	0.77	0.80	0.79	0.022				N	6	7	4	
yes	yes	yes	no	no	35	Wailea	NMS	BC	AA	JJ	WKD	WKD190726		Kilohana Dr	2019-07-26	8:00	2	2	2	2	2					WKD190726	27.7	35	6.49	100.2	8.13	1.35	0.82	0.76	0.98	0.332				N	0	8	0	Other: Judy J. not available after 8/9 for TBD; nutrient bottle holder needs glue (James has since said we have a new nutrient syringe holder)
yes	yes	yes	no	no	35	Wailea	NMS	BC	AA	JJ	WKB	WKB190726		Keawakapu Beach	2019-07-26	8:21	2	2	2	2	2					WKB190726	27.9	35.2	6.61	102.6	8.15	1.54	0.71	0.71	0.99	0.486				N	20	11	0	double checked high salinity above normal range, 2nd value was same
yes	yes	yes	no	no	35	Wailea	NMS	BC	AA	JJ	WUL	WUL190726		Ulua Beach	2019-07-26	8:44	2	2	2	2	2					WUL190726	27.8	35	6.66	103.1	8.15	1.06	1.38	1.68	1.37	0.226				N	12	15	0	
yes	yes	yes	no	no	35	Wailea	NMS	BC	AA	JJ	WPL	WPL190726		Palauea Beach	2019-07-26	9:09	2	2	2	2	2					WPL190726	28.3	34.9	6.56	102.3	8.17	1.79	1.42	1.48	1.56	0.127				N	0	8	0	Boogie boarders in front of samplers
yes	yes	yes	no	no	35	Wailea	NMS	BC	AA	JJ	WPO	WPO190726		Poolenalena Beach	2019-07-26	9:25	2	2	2	2	2					WPO190726	28.6	35.3	6.64	104.2	8.19	1.19	1.27	0.72	1.06	0.280				N	11	10	0	double checked high salinity above normal range, 2nd value was same
yes	yes	yes	no	no	36	Wailea	NMS	BC	AA	AW	WKD	WKD190816		Kilohana Dr	2019-08-16	7:54	2	2	2	2	2					WKD190816	28.1	35	6.63	102.9	8.12	1.17	1.68	1.34	1.40	0.186				N	0	10	0	
yes	yes	yes	no	no	36	Wailea	NMS	BC	AA	AW	WKB	WKB190816		Keawakapu Beach	2019-08-16	8:20	2	2	2	2	2					WKB190816	28.4	35.2	6.62	103.3	8.13	0.79	0.52	0.54	0.62	0.244				N	12	10	0	
yes	yes	yes	no	no	36	Wailea	NMS	BC	AA	AW	WUL	WUL190816		Ulua Beach	2019-08-16	8:41	2	2	2	2	2					WUL190816	28.6	35.1	6.71	105.0	8.15	0.58	1.30	0.82	0.90	0.407				N	10	9	0	3 scuba divers near entry
yes	yes	yes	no	no	36	Wailea	NMS	BC	AA	AW	WPL	WPL190816		Palauea Beach	2019-08-16	9:03	2	2	2	2	2					WPL190816	28.8	34.7	6.61	103.4	8.14	1.87	2.34	2.15	2.12	0.112				N	0	5	0	vehicle was not parked in the shade- none available
yes	yes	yes	no	no	36	Wailea	NMS	BC	AA	AW	WPO	WPO190816		Poolenalena Beach	2019-08-16	9:19	2	2	2	2	2					WPO190816	28.8	35	6.61	104.0	8.16	0.46	0.72	0.58	0.59	0.222				N	7	1	0	
yes	yes	yes	no	no	37	Wailea	NMS	AA	JS	AW	WKD	WKD190906		Kilohana Dr	2019-09-06	7:59	1	1	3	1	1					WKD190906	28.3	26.5	7.85	100.7	8.14	2.10	2.40	2.34	2.28	0.070				N	1	5	0	
yes	yes	yes	no	no	37	Wailea	NMS	AA	JS	AW	WKB	WKB190906		Keawakapu Beach	2019-09-06	8:22	1	1	3	1	1					WKB190906	28.7	35.2	6.44	101.2	8.15	1.77	1.86	2.08	1.90	0.084				N	2	9	0	
yes	yes	yes	no	no	37	Wailea	NMS	AA	JS	AW	WUL	WUL190906		Ulua Beach	2019-09-06	8:43	1	1	3	1	1					WUL190906	28.7	35.2	6.44	101.1	8.18	1.91	2.28	2.46	2.22	0.127				N	10	14	0	
yes	yes	yes	no	no	37	Wailea	NMS	AA	JS	AW	WPL	WPL190906		Palauea Beach	2019-09-06	9:07	1	1	3	1	1					WPL190906	28.7	35.1	6.55	102.5	8.18	2.67	2.84	2.79	2.77	0.032				N	1	2	0	
yes	yes	yes	no	no	37	Wailea	NMS	AA	JS	AW	WPO	WPO190906		Poolenalena Beach	2019-09-06	9:27	1	1	3	1	1					WPO190906	28.9	35.1	6.45	101.5	8.19	1.07	1.27	1.21	1.18	0.087				N	4	5	0	
yes	yes	yes	no	no	38	Wailea	NMS	AA	SD	AW	WKD	WKD190927		Kilohana Dr	2019-09-27	8:07	2	2	4	2	2					WKD190927	28.2	35.3	6.52	102.2	8.14	2.65	1.91	2.52	2.36	0.167				N	3	9	0	
yes	yes	yes	no	no	38	Wailea	NMS	AA	SD	AW	WKB	WKB190927		Keawakapu Beach	2019-09-27	8:30	2	2	4	2	2					WKB190927	28.5	35.4	6.54	102.7	8.16	0.98	0.96	1.31	1.08	0.181				N	2	7	0	3rd turbidity reading: "3x due to rapid turnover"
yes	yes	yes	no	no	38	Wailea	NMS	AA	SD	AW	WUL	WUL190927		Ulua Beach	2019-09-27	8:50	2	2	4	2	2					WUL190927	28.6	35.3	6.69	105.4	8.17	1.39	2.25	2.68	2.11	0.312				N	19	9	0	
yes	yes	yes	no	no	38	Wailea	NMS	AA	SD	AW	WPL	WPL190927		Palauea Beach	2019-09-27	9:15	2	2	4	2	2					WPL190927	28.5	35.3	6.54	102.7	8.17	6.23	8.53	7.28	7.35	0.157				N	0	5	0	
yes	yes	yes	no	no	38	Wailea	NMS	AA	SD	AW	WPO	WPO190927		Poolenalena Beach	2019-09-27	9:29	2	2	4	2	2					WPO190927	28.6	35.2	6.55	103.0	8.19	0.83	0.81	0.82	0.82	0.012				N	0	5	0	
yes	yes	yes	no	no	39	Wailea	NMS	SD	AW	BC	WKD	WKD191018		Kilohana Dr	2019-10-18	7:59	1	1	3	1	1					WKD191018	27.4	35	6.71	97.8	8.15	1.07	0.99	0.96	1.01	0.056				N	0	8	0	
yes	yes	yes	no	no	39	Wailea	NMS	SD	AW	BC	WKB	WKB191018		Keawakapu Beach	2019-10-18	8:18	1	1	3	1	1					WKB191018	27.6	35.1	6.39	98.2	8.13	0.75	0.86	0.79	0.80	0.070				N	7	8	0	
yes	yes	yes	no	no	39	Wailea	NMS	SD	AW	BC	WUL	WUL191018		Ulua Beach	2019-10-18	8:36	1	1	3	1	1					WUL191018	27.7	35	6.43	99.1	8.15	1.17	1.21	1.01	1.13	0.094				N	8	20	0	
yes	yes	yes	no	no	39	Wailea	NMS	SD	AW	BC	WPL	WPL191018		Palauea Beach	2019-10-18	8:56	1	1	3	1	1					WPL191018	28	35.1	6.24	96.5	8.15	1.02	1.12	1.11	1.08	0.051				N	7	15	0	
yes	yes	yes	no	no	39	Wailea	NMS	SD	AW	BC	WPO	WPO191018		Poolenalena Beach	2019-10-18	9:09	1	1	3	1	1					WPO191018	28.4	35.1	6.42	100.1	8.19	0.64	0.61	0.59	0.61	0.041				N	9	13	0	
